"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"2404" NA "man" 1938 NA NA NA NA "other self-employed" NA 2425.87646484375 2.15292692184448 "2404"
"1844" 105251 "man" 1933 "Switzerland" "german" NA NA "academic professions and senior management" NA 850.717834472656 0.754998624324799 "1844"
"859" 48411 "man" 1922 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1065.75036621094 0.94583660364151 "859"
"494" 27981 "woman" 1955 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 1040.36645507812 0.923308730125427 "494"
"424" 24961 "woman" 1944 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 1150.65869140625 1.02119135856628 "424"
"1783" 102021 "man" 1929 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" NA 876.114379882812 0.777537703514099 "1783"
"434" 25271 "man" 1950 "Switzerland" "german" "Roman Catholic" "every two weeks" "academic professions and senior management" NA 663.411987304688 0.588767647743225 "434"
"127" 9721 "woman" 1954 "Switzerland" "french" "no denomination or religion" "never" "qualified manual professions" "qualified manual professions" 724.310607910156 0.642814218997955 "127"
"168" 12101 "man" 1936 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 821.451843261719 0.729025542736053 "168"
"886" 50171 "woman" 1950 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 657.751281738281 0.583743810653687 "886"
"2547" 146131 "woman" 1939 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" "other self-employed" 976.284729003906 0.866437256336212 "2547"
"332" 20141 "woman" 1927 "Switzerland" "french" NA NA NA NA 1185.38952636719 1.0520144701004 "332"
"2033" 114451 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 715.4951171875 0.634990632534027 "2033"
"1336" 76021 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" "unqualified non-manual and manual workers" 1239.38464355469 1.09993422031403 "1336"
"936" 53601 "man" 1929 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" NA 863.942443847656 0.766735255718231 "936"
"1277" 72821 "man" 1945 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" "qualified non-manual professions" 927.367797851562 0.823024272918701 "1277"
"978" 55771 "woman" 1954 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" NA 707.286071777344 0.627705216407776 "978"
"1356" NA "man" 1931 NA NA NA NA "other self-employed" "other self-employed" 1152.25451660156 1.02260768413544 "1356"
"958" 54321 "man" 1945 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 981.187255859375 0.870788216590881 "958"
"1493" 85151 "woman" 1939 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1044.09875488281 0.926621079444885 "1493"
"1914" 108621 "man" 1945 "Denmark and territories" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" "qualified non-manual professions" 1594.36682128906 1.41497528553009 "1914"
"2487" 143091 "man" 1942 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 1063.94982910156 0.944238722324371 "2487"
"1367" 77801 "woman" 1934 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 0 0 "1367"
"2256" 128321 "woman" 1955 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" NA "qualified manual professions" 0 0 "2256"
"904" 51222 "man" 1956 "Switzerland" "french" "no denomination or religion" "never" "academic professions and senior management" NA 819.53125 0.727321028709412 "904"
"270" 17191 "woman" 1953 "Switzerland" "german" "other" "once a week" "qualified manual professions" NA 944.500305175781 0.838229119777679 "270"
"1638" 93951 "woman" 1945 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified non-manual professions" NA 1416.6552734375 1.25725913047791 "1638"
"2221" 125671 "man" 1957 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 664.558288574219 0.589784979820251 "2221"
"894" 50651 "woman" 1949 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 744.7509765625 0.660954713821411 "894"
"170" 12171 "woman" 1939 "Switzerland" "french" "no denomination or religion" "never" "academic professions and senior management" NA 916.460815429688 0.813344478607178 "170"
"1026" 58451 "man" 1939 "Switzerland" NA NA NA NA NA 2196.12817382812 1.94902908802032 "1026"
"273" 17361 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 981.326477050781 0.870911717414856 "273"
"104" 8541 "man" 1937 "Switzerland" "french" "Protestant or Reformed Church" "never" "other self-employed" "other self-employed" 1083.30078125 0.961412310600281 "104"
"2068" 117041 "woman" 1950 "Philippines" "french" "Roman Catholic" "once a week" "academic professions and senior management" NA 1406.56701660156 1.24830603599548 "2068"
"1071" 60511 "man" 1945 "Switzerland" "french" NA NA "other self-employed" "other self-employed" 1024.07702636719 0.908852219581604 "1071"
"321" 19291 "man" 1952 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1084.24719238281 0.962252259254456 "321"
"1048" NA "man" 1935 NA NA NA NA "other self-employed" "unqualified non-manual and manual workers" 1216.38330078125 1.07952094078064 "1048"
"1972" 110661 "woman" 1933 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1092.61926269531 0.969682395458221 "1972"
"73" 6911 "man" 1936 "Switzerland" "french" "Roman Catholic" "about once a month" "other self-employed" "unqualified non-manual and manual workers" 1110.8837890625 0.985891759395599 "73"
"467" 26481 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1116.279296875 0.990680277347565 "467"
"281" NA "man" 1923 NA NA NA NA "unqualified non-manual and manual workers" NA 822.068237304688 0.729572534561157 "281"
"2026" NA "man" 1957 NA NA NA NA "intermediate professions" "unqualified non-manual and manual workers" 1352.99133300781 1.20075845718384 "2026"
"1192" 67871 "woman" 1922 "Switzerland" NA NA NA NA NA 2563.39428710938 2.27497172355652 "1192"
"1948" 109781 "woman" 1949 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "intermediate professions" NA 719.345153808594 0.638407409191132 "1948"
"1203" 68641 "woman" 1932 "Itally" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 1696.98083496094 1.50604367256165 "1203"
"2063" 116981 "man" 1952 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "academic professions and senior management" NA 735.354675292969 0.652615666389465 "2063"
"975" 55531 "man" 1955 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" NA "qualified manual professions" 1069.7568359375 0.949392259120941 "975"
"2513" 144231 "woman" 1940 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "qualified manual professions" "other self-employed" 1818.13586425781 1.61356687545776 "2513"
"2599" 148921 "man" 1930 "Switzerland" "italian" NA NA NA "other self-employed" 2016.76684570312 1.78984868526459 "2599"
"739" 42121 "woman" 1951 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 856.078369140625 0.759756028652191 "739"
"1234" NA "man" 1950 NA NA NA NA NA NA 2958.578125 2.62569141387939 "1234"
"906" 51451 "man" 1957 "Switzerland" "french" NA NA "other self-employed" NA 1554.30700683594 1.37942290306091 "906"
"1121" 63161 "man" 1939 "Belgium" "french" "Roman Catholic" "a few times a year" "academic professions and senior management" NA 1349.8720703125 1.19799017906189 "1121"
"2505" 143961 "woman" 1948 "Switzerland" "german" "no denomination or religion" "religious celebrations and family events" NA "intermediate professions" 906.917297363281 0.804874777793884 "2505"
"537" NA "man" 1953 NA NA NA NA "other self-employed" NA 1059.59826660156 0.94037663936615 "537"
"1171" 66951 "woman" 1943 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 1180.65905761719 1.047816157341 "1171"
"206" 13801 "woman" 1945 "Switzerland" "french" "Protestant or Reformed Church" "never" "qualified manual professions" NA 1169.79931640625 1.03817844390869 "206"
"2371" 136381 "woman" 1943 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1044.09875488281 0.926621079444885 "2371"
"1696" 98341 "man" 1938 "Switzerland" "german" NA NA NA NA 901.018920898438 0.79964005947113 "1696"
"1403" 80301 "man" 1938 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1107.54125976562 0.982925355434418 "1403"
"1553" 88531 "man" 1930 "Switzerland" NA NA NA NA NA 2198.47802734375 1.95111453533173 "1553"
"456" 26181 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 657.53173828125 0.583549022674561 "456"
"2415" 138681 "woman" 1949 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "other self-employed" NA 918.325988769531 0.81499981880188 "2415"
"1017" 58181 "man" 1951 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "other self-employed" "other self-employed" 666.27294921875 0.591306686401367 "1017"
"2341" 134011 "man" 1934 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 1107.83178710938 0.983183205127716 "2341"
"1958" 110211 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "unqualified non-manual and manual workers" 607.539733886719 0.53918194770813 "1958"
"65" NA "woman" 1948 NA NA NA NA "other self-employed" NA 720.973205566406 0.639852285385132 "65"
"138" NA "man" 1946 NA NA NA NA "qualified manual professions" NA 0 0 "138"
"2016" 113781 "man" 1950 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 932.228271484375 0.827337861061096 "2016"
"1565" 89271 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA "unqualified non-manual and manual workers" 872.011474609375 0.773896396160126 "1565"
"1893" 107371 "man" 1932 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "intermediate professions" NA 1384.36938476562 1.22860586643219 "1893"
"914" 51862 "man" 1954 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 696.591674804688 0.618214070796967 "914"
"1506" 85791 "man" 1941 "Switzerland" "german" NA NA "top management" NA 1031.37243652344 0.915326714515686 "1506"
"2546" 146131 "man" 1934 "Switzerland" NA NA NA NA NA 1817.40063476562 1.61291432380676 "2546"
"1400" 80051 "woman" 1948 "Switzerland" "german" "no denomination or religion" "never" "qualified manual professions" NA 0 0 "1400"
"2410" 138461 "woman" 1936 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1296.8310546875 1.15091705322266 "2410"
"1389" 79471 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "top management" NA 1452.10729980469 1.28872215747833 "1389"
"1010" 57671 "woman" 1951 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "liberal professions" NA 574.572998046875 0.509924411773682 "1010"
"835" NA "man" 1933 NA NA NA NA "qualified manual professions" NA 1051.21643066406 0.932937920093536 "835"
"1043" 58971 "man" 1953 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 975.696228027344 0.86591500043869 "1043"
"1877" 106462 "woman" 1950 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" "intermediate professions" 1616.05334472656 1.43422186374664 "1877"
"2205" NA "man" 1915 NA NA NA NA "intermediate professions" NA 0 0 "2205"
"1119" 63071 "woman" 1929 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 936.778503417969 0.831376135349274 "1119"
"996" 56881 "man" 1946 "Switzerland" "french" "Muslim" "once a week" NA "unqualified non-manual and manual workers" 1100.38317871094 0.976572692394257 "996"
"2299" 131371 "woman" 1945 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 1168.09289550781 1.03666400909424 "2299"
"750" 42911 "woman" 1934 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1202.76538085938 1.0674352645874 "750"
"1328" 75261 "woman" 1938 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 1585.27478027344 1.40690624713898 "1328"
"2345" 134521 "woman" 1921 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 1957.05444335938 1.73685479164124 "2345"
"2288" 130381 "man" 1957 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 879.95751953125 0.780948400497437 "2288"
"720" 40861 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "other self-employed" "other self-employed" 815.058349609375 0.723351359367371 "720"
"2407" 138291 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "intermediate professions" NA 776.795715332031 0.689393937587738 "2407"
"1019" NA "man" 1929 NA NA NA NA "other self-employed" NA 1885.99682617188 1.67379236221313 "1019"
"313" 19141 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 777.544311523438 0.690058290958405 "313"
"2469" 142052 "woman" 1954 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 796.758239746094 0.707110345363617 "2469"
"2025" 114221 "woman" 1914 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "top management" NA 1248.59362792969 1.10810708999634 "2025"
"506" 28381 "man" 1934 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 896.959899902344 0.79603773355484 "506"
"681" 38261 "man" 1938 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" "other self-employed" 1031.37243652344 0.915326714515686 "681"
"355" 21261 "woman" 1915 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1671.142578125 1.48311269283295 "355"
"1087" 61081 "woman" 1931 "France and territories" "french" "Roman Catholic" "several times a week" "qualified manual professions" NA 2389.900390625 2.12099885940552 "1087"
"1562" 89011 "woman" 1950 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "liberal professions" NA 925.69384765625 0.821538627147675 "1562"
"2500" NA "woman" 1938 NA NA NA NA "other self-employed" NA 2410.5771484375 2.13934922218323 "2500"
"901" 51111 "woman" 1945 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 1262.45227050781 1.12040638923645 "901"
"1224" 69401 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "qualified manual professions" NA 720.721740722656 0.639629125595093 "1224"
"508" 28481 "man" 1957 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 1057.29052734375 0.938328623771667 "508"
"698" 39511 "man" 1953 "Switzerland" "german" "Roman Catholic" "every two weeks" NA "qualified manual professions" 700.013061523438 0.621250510215759 "698"
"1049" NA "woman" 1937 NA NA NA NA "qualified manual professions" "qualified non-manual professions" 1325.74084472656 1.17657399177551 "1049"
"518" 28831 "man" 1913 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 1052.38732910156 0.93397718667984 "518"
"1434" 82311 "woman" 1945 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "academic professions and senior management" NA 1057.44201660156 0.938463032245636 "1434"
"578" 32751 "man" 1941 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1067.8671875 0.947715222835541 "578"
"993" 56581 "woman" 1955 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 807.558959960938 0.716695785522461 "993"
"2011" 113491 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 708.824951171875 0.629070937633514 "2011"
"616" 34431 "man" 1944 "Switzerland" NA NA NA NA NA 1930.13415527344 1.71296358108521 "616"
"648" 36441 "woman" 1952 "Switzerland" "german" "Roman Catholic" "a few times a year" "unqualified non-manual and manual workers" "qualified non-manual professions" 824.993591308594 0.732168734073639 "648"
"483" 27651 "woman" 1951 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 670.732116699219 0.595264136791229 "483"
"1205" 68691 "woman" 1922 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 1333.77185058594 1.18370139598846 "1205"
"366" 22171 "woman" 1948 "Switzerland" "german" "Roman Catholic" "about once a month" "unqualified non-manual and manual workers" "intermediate professions" 778.030151367188 0.69048947095871 "366"
"445" 25771 "man" 1951 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 743.772888183594 0.660086691379547 "445"
"107" 8711 "woman" 1941 "Switzerland" "french" NA NA "academic professions and senior management" "qualified manual professions" 2178.97705078125 1.93380761146545 "107"
"333" 20141 "man" 1930 "Switzerland" "french" "no denomination or religion" "never" NA "other self-employed" 822.068237304688 0.729572534561157 "333"
"2421" 139081 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 1401.59057617188 1.24388945102692 "2421"
"2129" 120991 "woman" 1951 "Switzerland" "french" "Roman Catholic" "a few times a year" "unqualified non-manual and manual workers" "qualified non-manual professions" 797.600158691406 0.707857549190521 "2129"
"2259" NA "man" 1949 NA NA NA NA "other self-employed" NA 3125.91552734375 2.7742006778717 "2259"
"932" 53421 "woman" 1957 "Switzerland" "french" "Roman Catholic" "a few times a year" NA "academic professions and senior management" 611.788757324219 0.542952835559845 "932"
"421" 24791 "man" 1943 "Switzerland" NA NA NA "intermediate professions" NA 1003.07202148438 0.890210568904877 "421"
"336" 20301 "man" 1941 "Switzerland" NA NA NA NA NA 2190.99047851562 1.9444694519043 "336"
"2182" 123491 "woman" 1932 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" NA NA 938.589965820312 0.832983732223511 "2182"
"994" 56631 "man" 1943 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" "unqualified non-manual and manual workers" 872.567749023438 0.774390041828156 "994"
"152" 11331 "woman" 1936 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 905.359191894531 0.803491950035095 "152"
"159" NA "man" 1923 NA NA NA NA NA NA 1969.75598144531 1.74812722206116 "159"
"1381" 78771 "woman" 1952 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "top management" NA 1057.12280273438 0.938179790973663 "1381"
"627" 35461 "man" 1949 "Switzerland" NA NA NA NA NA 2333.59106445312 2.07102513313293 "627"
"1151" 65481 "man" 1954 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified non-manual professions" NA 873.88427734375 0.775558471679688 "1151"
"1859" 105561 "man" 1939 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" "other self-employed" 1550.64685058594 1.37617456912994 "1859"
"2430" 140011 "man" 1953 "Switzerland" "german" "other Christian denomination" "only for family ceremonies" "intermediate professions" "unqualified non-manual and manual workers" 952.232971191406 0.845091700553894 "2430"
"1412" 80761 "woman" 1925 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1489.1728515625 1.32161736488342 "1412"
"659" 36991 "woman" 1943 "Germany" "german" "Roman Catholic" "only for family ceremonies" "academic professions and senior management" NA 2191.89233398438 1.94526970386505 "659"
"405" NA "man" 1948 NA NA NA NA "qualified manual professions" NA 1575.31945800781 1.39807105064392 "405"
"1695" 98341 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA "other self-employed" 1010.64520263672 0.896931648254395 "1695"
"1306" 74391 "man" 1951 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 1044.6572265625 0.927116811275482 "1306"
"2147" 122331 "woman" 1955 "Switzerland" "french" "Roman Catholic" "about once a month" "other self-employed" NA 568.841064453125 0.504837453365326 "2147"
"2047" 116111 "woman" 1924 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1697.37451171875 1.50639307498932 "2047"
"143" 10431 "man" 1939 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" "qualified non-manual professions" 1034.24572753906 0.917876660823822 "143"
"946" 54091 "woman" 1938 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "intermediate professions" NA 1094.35913085938 0.971226394176483 "946"
"569" 31941 "woman" 1942 "Switzerland" "german" "Roman Catholic" "a few times a year" NA NA 1018.95074462891 0.904302656650543 "569"
"1385" NA "woman" 1940 NA NA NA NA "academic professions and senior management" NA 1027.45324707031 0.911848485469818 "1385"
"393" 23641 "man" 1930 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 1008.71691894531 0.895220339298248 "393"
"417" 24641 "woman" 1957 "Switzerland" "german" "Roman Catholic" "about once a month" "qualified non-manual professions" NA 805.749389648438 0.715089857578278 "417"
"1592" 91251 "man" 1952 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 892.163757324219 0.79178124666214 "1592"
"907" 51501 "woman" 1936 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "qualified manual professions" NA 1515.81213378906 1.345259308815 "907"
"1724" 99201 "man" 1940 "Switzerland" "german" NA NA "other self-employed" NA 989.980041503906 0.878591597080231 "1724"
"2329" 133121 "woman" 1935 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" "qualified manual professions" 1097.22766113281 0.97377222776413 "2329"
"293" 18021 "woman" 1934 "Austria" "french" "Roman Catholic" "religious celebrations and family events" "other self-employed" NA 3576.32348632812 3.17393040657043 "293"
"1487" 84841 "man" 1953 "Switzerland" "german" "Roman Catholic" "every two weeks" "intermediate professions" NA 977.921630859375 0.867890000343323 "1487"
"2187" NA "woman" 1955 NA NA NA NA NA "unqualified non-manual and manual workers" 575.320678710938 0.510587990283966 "2187"
"1091" NA "woman" 1954 NA NA NA NA NA NA 0 0 "1091"
"1955" 109971 "man" 1955 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" NA NA 854.640930175781 0.758480310440063 "1955"
"957" 54291 "man" 1957 "Portugual" "french" "no denomination or religion" "never" NA NA 1960.12036132812 1.73957586288452 "957"
"2274" 129561 "man" 1949 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "unqualified non-manual and manual workers" 925.803100585938 0.821635663509369 "2274"
"1149" 65341 "man" 1936 "Switzerland" NA NA NA NA NA 1467.45361328125 1.30234181880951 "1149"
"308" NA "man" 1936 NA NA NA NA NA "qualified manual professions" 686.201171875 0.608992695808411 "308"
"949" 54121 "woman" 1945 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" "other self-employed" 938.271667480469 0.83270126581192 "949"
"1083" 60921 "man" 1953 "Switzerland" NA NA NA NA NA 2173.30810546875 1.92877650260925 "1083"
"2450" 141161 "man" 1929 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1425.12976074219 1.26478016376495 "2450"
"197" 13541 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" "unqualified non-manual and manual workers" 715.465026855469 0.634963870048523 "197"
"2196" 124111 "woman" 1936 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 945.639221191406 0.839239895343781 "2196"
"2223" 125761 "woman" 1940 "Switzerland" "italian" "Protestant or Reformed Church" "only for family ceremonies" NA NA 0 0 "2223"
"2130" 121201 "woman" 1935 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "other self-employed" NA 997.367065429688 0.885147511959076 "2130"
"2512" 144231 "man" 1942 "Switzerland" "german" "Roman Catholic" "a few times a year" "qualified manual professions" NA 976.878112792969 0.866963863372803 "2512"
"2467" 142011 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 1649.7275390625 1.46410703659058 "2467"
"876" 49481 "man" 1954 "Switzerland" NA NA NA "other self-employed" "other self-employed" 1449.55090332031 1.28645348548889 "876"
"1165" 66641 "woman" 1930 "Switzerland" "german" "Roman Catholic" "every two weeks" NA "qualified non-manual professions" 1007.33843994141 0.893996953964233 "1165"
"367" 22181 "man" 1931 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1800.31335449219 1.59774971008301 "367"
"40" 5341 "woman" 1943 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 1278.93640136719 1.13503575325012 "40"
"407" 24181 "woman" 1928 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "academic professions and senior management" "intermediate professions" 945.687561035156 0.839282810688019 "407"
"2474" 142191 "man" 1933 "Switzerland" "german" "Roman Catholic" "every two weeks" "unqualified non-manual and manual workers" NA 966.25830078125 0.857538998126984 "2474"
"820" 46471 "woman" 1955 "Switzerland" "italian" "Christian Catholic" "a few times a year" "qualified non-manual professions" NA 1464.46545410156 1.29969000816345 "820"
"1501" 85671 "woman" 1916 "Switzerland" "german" "other" "a few times a year" "other self-employed" "other self-employed" 1744.40686035156 1.54813349246979 "1501"
"1930" 109221 "woman" 1955 "Switzerland" "german" "no denomination or religion" "once a week" NA NA 596.884521484375 0.529725551605225 "1930"
"1517" 86401 "man" 1935 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 1084.05139160156 0.962078511714935 "1517"
"378" 22581 "woman" 1929 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified non-manual professions" NA 960.942932128906 0.85282164812088 "378"
"1795" 102511 "man" 1941 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 989.980041503906 0.878591597080231 "1795"
"675" 37891 "woman" 1955 "Switzerland" "german" "Roman Catholic" "never" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 679.252685546875 0.602825999259949 "675"
"1447" 82731 "man" 1944 "Switzerland" NA NA NA NA NA 0 0 "1447"
"23" 4001 "woman" 1936 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "qualified manual professions" NA 876.791076660156 0.778138220310211 "23"
"1395" 79881 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1171.99011230469 1.04012274742126 "1395"
"2370" 136381 "man" 1942 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "unqualified non-manual and manual workers" 1093.546875 0.97050553560257 "2370"
"1221" 69241 "woman" 1948 "Switzerland" "german" "Roman Catholic" "about once a month" "academic professions and senior management" NA 628.874206542969 0.558115899562836 "1221"
"1005" 57311 "woman" 1941 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "unqualified non-manual and manual workers" 1543.00012207031 1.3693882226944 "1005"
"1596" NA "woman" 1951 NA NA NA NA "qualified manual professions" "unqualified non-manual and manual workers" 773.314208984375 0.686304092407227 "1596"
"2077" 117431 "woman" 1951 "Switzerland" "french" "Roman Catholic" "a few times a year" "intermediate professions" NA 754.32763671875 0.669453859329224 "2077"
"1624" 93061 "woman" 1953 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "qualified non-manual professions" NA 669.66748046875 0.59431928396225 "1624"
"84" 7441 "man" 1925 "Switzerland" NA NA NA "academic professions and senior management" NA 1493.98474121094 1.325887799263 "84"
